Point Longitude,Point Latitude,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07
30.48446880309761,31.169468803097608,831.0,3268.7630215396835,466.0,830.6670761670762,2756.3923870936724,1957.6290516206482,1093.658080429773
30.520718803097612,31.14785780309761,891.0000000000001,3063.0,504.0,878.9999999999986,2733.0,2042.085013736011,1240.0
30.562024803097607,31.12696880309761,915.0,3070.155881970622,496.0,879.0,2748.0,2084.5087719298244,1236.5142857142857
30.643552803097613,31.073802803097607,880.0,2555.425975632381,465.0,807.0,2367.0000000000023,1866.0,1167.0
30.73002480309761,31.024496803097612,796.996303142329,2726.377376989964,449.65138721351025,833.6743063932448,2421.348214285714,1653.2423810372484,936.3440350608978
30.803552803097613,31.00935780309761,848.9695885509839,2777.8620228848245,462.33713745329015,825.0,2400.9924793591103,1702.0000000000002,966.0
30.786635803097607,30.96119080309761,816.9108196721312,2328.9981515711647,442.0,768.7695554046865,2152.0,1588.0,1037.9678571428572
30.79727480309761,30.909274803097606,754.0012330456227,2362.5,426.00000000000006,748.0,2114.7731785075553,1569.0224056603774,1035.0
30.811302803097607,30.900385803097606,753.0941176470591,2373.13360349225,426.0,753.4417516903763,2155.5028781061246,1537.7297979798002,989.8014598540146
30.84432980309761,30.89721880309761,824.8956510799725,2368.0,444.58431082522065,789.3379161269978,2175.0,1578.3449079998863,987.6778625954198
30.872913803097607,30.86949680309761,853.5153965045776,2404.479912634852,456.1758814102564,796.9999999999997,2169.2290590613056,1591.9999999999984,1018.0
30.89505280309761,30.852246803097607,917.9836214740674,2363.960760269773,482.37231939163524,828.6789475138885,2250.0,1740.8966732869915,1183.0
30.92632980309761,30.831635803097612,984.7731319125983,2355.9632317129126,502.5187670371148,844.5497662752252,2300.0,1865.0000000000002,1331.0189655670881
30.95757980309761,30.779079803097613,948.0,2093.548387096774,504.9786091699336,810.0,2125.0,1834.0677514377892,1257.9999999999993
30.99910780309761,30.755329803097613,964.0,2170.6491306698204,550.4829443447038,869.516129032258,2154.0,1795.9389326560658,1261.0265730706421
31.03955280309761,30.73169080309761,962.0,2177.582837406564,506.0,827.9999999999993,2185.0,1817.0,1268.0
31.08166380309761,30.72385780309761,980.6043659043665,2009.296569758498,485.0,808.0,2058.6665375677767,1783.0,1324.1997286862143
31.09721880309761,30.679635803097607,990.0,2057.0,505.0,826.9999999999986,2123.0,1893.3536567808812,1384.4567846444024
31.139607803097608,30.641357803097613,872.657984628521,1932.9324505570323,462.0,750.4775644914698,2021.096619883568,1728.5718628525858,1189.6394479835412
31.17849680309761,30.596357803097607,808.2043463291841,2319.0,457.99999999999875,745.0,2293.4229753853115,1781.1410379927124,1105.7314675432397
31.203496803097607,30.565440803097612,870.0,2227.0,469.0,764.2120110598227,2301.0595540589593,1871.0,1211.7203389830509
31.22044080309761,30.52757980309761,945.7275412345823,2187.1148626282693,503.0,818.1305195147233,2246.4990689013034,1915.999999999999,1313.0447400241837
31.260357803097612,30.51438580309761,917.4488330341113,2273.903058766485,498.6812796208531,814.0,2340.5171171171173,1932.5809352517986,1317.4349570302757
31.30724680309761,30.511524803097608,898.0,2337.6611374407585,484.7589928057554,810.0,2410.0,1960.0,1252.6006080707573
31.340413803097608,30.47885780309761,868.0,2550.0,471.0,812.9999999999999,2369.703703703705,1812.3484731349056,1140.9999999999995
30.847440803097612,31.02607980309761,934.0,2946.031141868512,492.6169730692577,892.2468239564429,2526.7777472373027,1896.5,1113.5932827289755
30.890385803097608,31.020357803097607,864.6384932116633,2613.0,465.0572801102954,834.5169340463458,2268.0,1671.0000000000005,1061.0
30.88966380309761,31.02066380309761,864.6901702119115,2619.0,465.1076114824212,834.5169340463458,2280.0,1671.0000000000007,1061.0
30.92760780309761,30.986079803097606,902.304347826087,2244.120681713496,482.24011132576345,819.0,2126.5178571428573,1727.0,1157.0018416206262
30.97605280309761,30.966413803097613,857.0,2354.949328055959,468.3753508548101,782.0220194118496,2158.9999999999973,1673.0,1058.7349397590363
31.02763580309761,30.95755280309761,745.0,2371.0,423.0,733.3617021276596,2220.000000000001,1580.3380322858843,914.7147238410947
31.08174680309761,30.961413803097606,771.7769040167224,2482.73065284995,431.0,745.2134619668578,2327.0,1691.4608032150322,978.0
31.138107803097608,30.96485780309761,951.0,2341.216061990689,503.0,880.0,2276.6693992106702,1884.0,1295.0
31.21071880309761,30.98010780309761,906.0,2247.000000000001,490.48398576512454,824.5,2207.0,1764.0,1172.0
31.26480280309761,30.98652480309761,888.5094867670068,2307.5,478.0,801.3247162098896,2208.5162140322514,1753.9524807976213,1155.0
31.257774803097607,31.045607803097607,839.0000000000001,2660.0,446.25214297266723,776.0,2497.0,1820.249381843871,1045.0
31.27419080309761,31.089413803097607,739.3607385942448,2997.0119229636275,429.4153506706002,730.1945826861509,2552.000000000001,1812.0,963.4836595684781
31.32494080309761,31.12813580309761,949.0,2707.0,531.0000000000002,882.0,2586.125956254713,2139.0,1222.3543758967007
31.39499680309761,31.120996803097608,1017.5110294117648,1889.0000000000005,531.0,831.9999999999989,1980.829146040886,1804.2784719316048,1354.0
31.46774680309761,31.12285780309761,999.0,2550.0,523.0,870.0,2485.8358056464444,2001.0000000000002,1253.2589819631485
31.522440803097613,31.136302803097607,1132.0,3047.281709880869,590.6698679471789,992.0000000000009,3034.967741935484,2491.999999999995,1485.5483870967741
31.56135780309761,31.077885803097608,903.0,3203.0,502.51612903225805,916.0,2801.9999999999986,2086.0,1189.0
31.582468803097612,31.048496803097606,926.3238754847657,3481.3703730693887,493.00000000000017,882.6296893908827,2913.0,2012.999999999999,1177.6242936081935
31.408163803097608,30.44699680309761,1023.0,2620.0,536.2708498808579,900.0000000000001,2530.0,2061.0,1318.4991304347825
31.336413803097606,30.36227480309761,926.0292935094778,2324.15407190022,474.99999999999966,796.4241472563898,2294.0000000000005,1913.0,1269.0
31.20099680309761,30.08744080309761,1405.998248686515,1852.0012373174955,755.0,1144.8050706532183,1994.0783064531547,2097.0,1867.0194884287455
31.163274803097607,30.065163803097608,1314.7085325522983,2194.0,689.0,1068.4837545126354,2257.999999999998,2138.7044100119188,1833.0000000000002
31.12416380309761,30.098190803097612,957.0,2248.0,584.0,892.6739659367397,2214.091860913005,1829.4708118381755,1213.0
31.11685780309761,30.16052480309761,891.0,2203.8831312017646,495.0,832.9987577639752,2156.1266618543327,1799.0,1229.0
31.104246803097613,30.207940803097607,859.0,2130.0832024131214,454.99999999999994,770.3544168330437,2099.0633061204776,1744.7446391213355,1178.43142476698
31.08241380309761,30.290413803097607,778.0,2195.0,396.81375892914565,717.0,2140.5009310986966,1700.0,1059.4050104384135
31.065190803097607,30.355802803097607,885.6842328613866,2077.5513513513515,430.8665780141845,745.0,2065.508634739314,1763.0,1273.4778325123152
31.009246803097607,30.46957980309761,790.9999999999997,2524.0,419.0,766.9999999999999,2328.87408889342,1774.0,1083.0
